date,series_code,series_name,value,source
2021-01-01,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-04,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-05,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-06,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-07,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-08,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-11,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-12,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-13,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-14,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-15,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-18,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-19,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-20,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-21,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-22,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-25,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-26,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-27,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-28,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-01-29,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-01,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-02,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-03,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-04,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-05,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-08,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-09,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-10,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-11,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-12,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-15,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-16,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-17,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-18,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-19,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-22,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-23,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-24,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-02-25,V39079,Target overnight rate,0.25,Bank of Canada Valet API
