source_pdf,source_page,table_name,metric_or_line_item,period,value_raw,value_numeric,unit_or_note,extraction_note
2022_SmartCentres_REIT_Annual_Report.pdf,21,"Key Operational, Development and Financial Information",Total number of properties with an ownership interest,2022,185,185.0,count,Targeted extraction from manually selected annual report table
2022_SmartCentres_REIT_Annual_Report.pdf,21,"Key Operational, Development and Financial Information",Total number of properties with an ownership interest,2021,183,183.0,count,Targeted extraction from manually selected annual report table
2022_SmartCentres_REIT_Annual_Report.pdf,21,"Key Operational, Development and Financial Information",Total number of properties with an ownership interest,2020,179,179.0,count,Targeted extraction from manually selected annual report table
2022_SmartCentres_REIT_Annual_Report.pdf,21,"Key Operational, Development and Financial Information",In-place and committed occupancy rate,2022,98.0,98.0,percent,Targeted extraction from manually selected annual report table
2022_SmartCentres_REIT_Annual_Report.pdf,21,"Key Operational, Development and Financial Information",In-place and committed occupancy rate,2021,97.6,97.6,percent,Targeted extraction from manually selected annual report table
2022_SmartCentres_REIT_Annual_Report.pdf,21,"Key Operational, Development and Financial Information",In-place and committed occupancy rate,2020,97.3,97.3,percent,Targeted extraction from manually selected annual report table
2022_SmartCentres_REIT_Annual_Report.pdf,21,"Key Operational, Development and Financial Information",Average lease term to maturity,2022,4.2,4.2,years,Targeted extraction from manually selected annual report table
2022_SmartCentres_REIT_Annual_Report.pdf,21,"Key Operational, Development and Financial Information",Average lease term to maturity,2021,4.4,4.4,years,Targeted extraction from manually selected annual report table
2022_SmartCentres_REIT_Annual_Report.pdf,21,"Key Operational, Development and Financial Information",Average lease term to maturity,2020,4.6,4.6,years,Targeted extraction from manually selected annual report table
2024_SmartCentres_REIT_Annual_Report.pdf,8,"Key Operational, Development and Financial Information",Industrial properties,2024,1,1.0,count,Targeted extraction from manually selected annual report table
2024_SmartCentres_REIT_Annual_Report.pdf,8,"Key Operational, Development and Financial Information",Industrial properties,2023,1,1.0,count,Targeted extraction from manually selected annual report table
2024_SmartCentres_REIT_Annual_Report.pdf,8,"Key Operational, Development and Financial Information",In-place and committed occupancy rate,2024,98.7 %,98.7,percent,Targeted extraction from manually selected annual report table
2024_SmartCentres_REIT_Annual_Report.pdf,8,"Key Operational, Development and Financial Information",In-place and committed occupancy rate,2023,98.5 %,98.5,percent,Targeted extraction from manually selected annual report table
2024_SmartCentres_REIT_Annual_Report.pdf,8,"Key Operational, Development and Financial Information",In-place and committed occupancy rate,2022,98.0 %,98.0,percent,Targeted extraction from manually selected annual report table
2024_SmartCentres_REIT_Annual_Report.pdf,8,"Key Operational, Development and Financial Information",Properties under development,2024,25,25.0,count,Targeted extraction from manually selected annual report table
2024_SmartCentres_REIT_Annual_Report.pdf,8,"Key Operational, Development and Financial Information",Properties under development,2023,66,66.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,10,"Key Operational, Development and Financial Information",Properties under development,2025,29,29.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Retail properties,2025,155,155.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Retail properties,2024,155,155.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Retail properties,2023,155,155.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Office properties,2025,4,4.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Office properties,2024,4,4.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Office properties,2023,4,4.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Self-storage properties,2025,14,14.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Self-storage properties,2024,11,11.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Self-storage properties,2023,8,8.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Residential properties,2025,3,3.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Residential properties,2024,3,3.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Residential properties,2023,3,3.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Industrial properties,2025,1,1.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Industrial properties,2024,1,1.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Industrial properties,2023,1,1.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Properties under development,2025,21,21.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Properties under development,2024,21,21.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Properties under development,2023,20,20.0,count,Targeted extraction from manually selected annual report table
2025_SmartCentres_REIT_Annual_Report.pdf,11,"Key Operational, Development and Financial Information",Total number of properties with an ownership interest,2025,198,198.0,count,Targeted extraction from manually selected annual report table
