ticker,source,dividend_date,dividend_amount,notes
SRU-UN.TO,yfinance,2021-01-28 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-02-25 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-03-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-04-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-05-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-06-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-07-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-08-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-09-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-10-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-11-29 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2021-12-30 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-01-28 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-02-25 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-03-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-04-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-05-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-06-29 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-07-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-08-30 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-09-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-10-28 00:00:00-04:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
SRU-UN.TO,yfinance,2022-11-29 00:00:00-05:00,0.154,Longer SmartCentres dividend/distribution history from Yahoo Finance
